column,Row Order,HILL VALLEY BASAR ACME,BRAEDALE GOLDWYN,O-BEE MANFRED JUSTICE,BASAR,CARENDA FABULON-ET,JOCKO BESN,BUNDALONG MARKS MEDALLION,MANNA FARM DEL SANTO,SHOREMAR JAMES,ROUMARE,LONG-LANGS OMAN OMAN,ADLEJAMA DELSANTO PICOLA,GIBBON,Q250 BESNE BUCK,MAUGHLIN STORM,ENSENADA TABOO PLANET ET,HA-HO CUBBY MANFRED-ET,PICSTON SHOTTLE,ETAZON KNOCK OUT,HINDLEE GOLDWYN OMANROYAL 121003,A MARK CJ GILBROOK GRAND ET,ROSE-BAUM TABOO,MADAWASKA AEROSTAR,A RONNYBROOK PRELUDE ET,UFM-DUBS ALTAESQUIRE,FATAL,DIXIE-LEE AARON -ET,REGANCREST ALTAIOTA,EMPRISE BELL ELTON,WALKWAY CHIEF MARK,CAROL PRELUDE MTOTO ET,EMERALD-ACRES-SA TONIC ET,OSDEL-ENDEAVOR BOVA CUBBY,RICH-RO MARK SAM -ET,BADGER-BLUFF FANNY FREDDIE,CHARLESDALE SUPERSTITION,COUNTRY ROAD ROUMARE CANBEE,COYNE-FARMS DORCY,DELTA PARAMOUNT,EMERALD-ACR-SA T-BAXTER,END-ROAD BEACON,END-ROAD PVF BOLIVER,FUSTEAD EMORY BLITZ,GLENN-ANN PALERMO,JARDIN,LARS-ACRES SHOT TRIGGER,MR CHASSITY GOLD CHIP,RAMOS,SANDY-VALLEY BOLTON,STARTMORE RUDOLPH
NEWHOUSE SKYFALL - CRVSKYFALL,10,0,0.199061662,0.065683646,0,0,0,0,0,0.056970209,0,0.034852547,0,0,0,0.055293941,0,0.016420504,0,0,0,0.013068954,0,0,0,0,0,0.002178145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPERLUCKY-ET - SUPERLUCKY,11,0,0.199061662,0.065180954,0,0,0,0,0,0.056970209,0,0,0,0,0,0.055293941,0.004691689,0,0,0,0,0.013068954,0.001172847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPER LUCKYBRO - ET - LUCKYBRO,12,0,0.199061662,0.065180954,0,0,0,0,0,0.056970209,0,0,0,0,0,0.055293941,0.004691689,0,0,0,0,0.013068954,0.001172847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW PREDESTINE MANSHED - MANSHED,13,0,0.197050938,0.065683646,0,0,0,0,0,0.056467517,0,0,0,0,0,0,0.004691689,0.016420504,0.003686263,0,0,0,0.001172847,0,0,0.016085791,0,0,0,0,0,0,0,0,0.001005298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRONTE PARK CASHCOIN ROWDY-ET - ROWLING,14,0,0.197050938,0.065180954,0,0,0,0,0,0.056467517,0,0,0,0,0,0,0.004691689,0,0,0,0,0,0.001172847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR AMERICA CHACAL - 29HO17762,15,0,0.197050938,0.065180954,0,0,0,0,0,0.056467517,0,0,0,0,0,0,0.004691689,0,0,0,0,0,0.001172847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 11949 PENALTY - 29HO17732,16,0,0.197050938,0,0,0,0,0,0,0.056467517,0,0,0,0,0,0,0.004691689,0,0.006367228,0,0,0,0.001172847,0.010890724,0.010053576,0,0,0,0,0,0,0.001340483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 12128 TAILOR - 29HO17706,17,0,0.196548247,0.065180954,0,0,0,0,0,0,0,0,0,0,0,0,0.004691689,0,0.003686263,0,0,0,0.001172847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11756 OCTAVIAN-ET - 29HO17509,18,0,0,0.065683646,0,0,0,0,0,0,0,0.034852547,0,0,0,0,0.004691689,0.016420504,0.004188954,0,0,0,0.001172847,0,0,0,0,0.002178145,0,0,0,0.000837791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW KINGBOY 9970-ET - GHOSTLY,19,0,0,0.065683646,0,0,0,0,0,0,0,0.034852547,0,0,0,0,0.004188997,0.016420504,0.003686263,0,0,0,0,0,0,0,0,0.002178145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENMIRE OVERSIDE MACARENA - CBMACARENA,20,0,0,0.065683646,0,0,0,0,0,0,0,0.034852547,0,0,0,0,0.004691689,0.016420504,0,0,0,0,0.001172847,0,0,0,0,0.002178145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG VEKIS BOSS - AIBLOOPER,21,0,0,0.065180954,0,0,0,0,0,0,0,0.032841823,0,0,0,0,0.004691689,0,0.004188954,0,0,0,0.001172847,0,0,0,0,0,0,0,0,0.000837791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MYSTICAL - 29HO17876,22,0,0,0.065348504,0,0,0,0,0,0,0,0.032841823,0,0,0,0,0.004691689,0,0.003853812,0,0,0,0.001172847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUPASQUIER PRIZIM - CBPRIZIM,23,0,0,0.065180954,0,0,0,0,0,0,0,0.032841823,0,0,0,0,0.004691689,0,0.003686263,0,0,0,0.001172847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 12659 TACTIC - 29HO17919,24,0,0,0.065180954,0,0,0,0,0,0,0,0.032841823,0,0,0,0,0.004188997,0,0.003686263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGENT PEAK ALEX - CBPEAKALEX,25,0,0,0.065180954,0,0,0,0,0,0,0,0.032841823,0,0,0,0,0,0,0.003686263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WILARA JOSUPER JO-ET - GILES,26,0,0,0.06769437,0,0,0,0,0,0,0,0,0,0,0,0,0.004188997,0.016923196,0.003686263,0,0,0,0,0,0,0,0,0,0,0.005026488,0,0,0,0.002680794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY TRUE PP - 7HO12814,27,0,0,0.065180954,0,0,0,0,0,0,0,0.032841823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUW ROCKY - CRVBOUWROCKY,28,0,0,0.065683646,0,0,0,0,0,0,0,0,0,0,0,0,0.006702413,0.016420504,0.004188954,0,0,0,0.001675539,0,0,0,0,0,0,0,0,0.000837791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS JERRICK-ET - 29HO18059,29,0,0,0.065683646,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016420504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WILDER HAMLET - 29HO17334,30,0,0,0.065180954,0,0,0,0,0,0,0,0,0,0,0,0,0.004188997,0,0,0,0,0,0,0,0,0,0,0,0.011394102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLAIN-KNOLL DONA BAYONET-ET - 7HO12236,31,0,0,0.065180954,0,0,0,0,0,0,0,0,0,0,0,0,0.00536193,0,0.003686263,0,0,0,0.001340397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR SEAGULL-BAY SANDAL-ET - 29HO18161,32,0,0,0.065180954,0,0,0,0,0,0,0,0,0,0,0,0,0.004188997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRABANTDALE BLUEBELL - 29HO18199,33,0,0,0.065180954,0,0,0,0,0,0,0,0,0,0,0,0,0.004188997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MARION-ET - 29HO18009,34,0,0,0.065180954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANDY-VALLEY FIVESTAR-ET - 29HO18233,35,0,0,0,0,0,0,0,0,0,0,0.032339131,0,0,0,0,0.004188997,0,0.003853812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FARNEAR-TBR-BH FLAMER-ET - FLAMER,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007372654,0,0.004188954,0,0,0,0.001843088,0,0,0,0,0,0,0,0,0.000837791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW CAPGAIN JELLY-ET - JELLY,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007037512,0,0.003686263,0,0,0,0.001675539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW REDMAW KB 9975-ET - KINGTUT,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006869962,0,0.003686263,0,0,0,0.001675539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11231 TURVY-ET - 29HO16668,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006702413,0,0,0,0,0,0.001675539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11228 TOPSY-ET - 29HO16667,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006702413,0,0,0,0,0,0.001675539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMFORT MONTEREY MONEYMAN-ET - 29HO18094,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004188997,0,0.003686263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CALUMET-ET - 29HO18101,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004188997,0,0.003686263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MACINTOSH-ET - 29HO17989,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004188997,0,0.003686263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDG ABS JERICHO-ET - 29HO18110,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004188997,0,0.003686263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CAYLE-ETS - 29HO18041,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004188997,0,0.003686263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY JO DANCER-ET - 29HO18018,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004188997,0,0.003686263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN JINGO - 29HO17285,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004691689,0,0,0,0,0,0.001172847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOCKIECUTTER HARPER - 29HO17747,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004691689,0,0,0,0,0,0.001172847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRABANTDALE DRAKE-ET - 29HO18093,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004188997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO-FLA MERIT-ET - 29HO18045,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003686263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
