column,Row Order,O-BEE MANFRED JUSTICE,HA-HO CUBBY MANFRED-ET,TO-MAR BLACKSTAR ET,EMPRISE BELL ELTON,CAROL PRELUDE MTOTO ET,MADAWASKA AEROSTAR,JOCKO BESN,MAUGHLIN STORM,SINGING-BROOK N-B MASCOT ET,PICSTON SHOTTLE,DIXIE-LEE AARON -ET,ROUMARE,LONG-LANGS OMAN OMAN,BRAEDALE GOLDWYN,A RONNYBROOK PRELUDE ET,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,OSDEL-ENDEAVOR BOVA CUBBY,Q250 BESNE BUCK,SHOREMAR JAMES,OUT-JOCK CHOICE AMEL,ELITE MOUNTAIN DONOR IMP (E_T),HANOVERHILL STARBUCK,GIBBON,BIS-MAY S-E-L MOUNTAIN ET,MJR BLACKSTAR EMORY-ET,SOUTHWIND BELL OF BAR-LEE,END-ROAD BLACKSTAR MAJIC-ET,A MARK CJ GILBROOK GRAND ET,STARTMORE RUDOLPH,TESK-HOLM VALIANT ROCKIE,SHOREMAR PERFECT STAR (ET),ELITE GOLD BULLION-IMP-ET,BIS-MAY TRADITION CLEITUS,LEKKER VALIANT ROYALTY,AG-HIGH SIGHTS BS INGOT-ET,CARLIN-M IVANHOE BELL,ETAZON ADDISON,HOW-EL-ACRES K BELLMAN ET,WHITTIER-FARMS NED BOY,FUSTEAD EMORY BLITZ,NORRIELAKE CLEITUS LUKE TWIN,HILL VALLEY BASAR ACME,MARA-THON BW MARSHALL,BASAR,JARDIN,END-ROAD PVF BOLIVER,COLLINS ROYAL HUGO,RENGAW JARDIN JANEK,ROYLANE SOCRA ROBUST
SEAGULL-BAY SUPERSIRE - 7H11351,31,0.93452381,0.755952381,0,0,0,0,0,0,0,0,0,0,0,0,0.172619048,0.18452381,0.18452381,0,0,0,0.136904762,0,0,0,0,0.291666667,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0.077380952,0,0,0,0,0,0,0,0,0.017857143
HILL VALLEY NIELS - NIELS,32,0,0,0.875,0,0.464285714,0.321428571,0,0,0,0.369047619,0,0,0,0,0.172619048,0.18452381,0.18452381,0,0,0,0.136904762,0,0,0,0,0,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU RANSOM - ET - DESURANSOM,33,0.93452381,0.755952381,0,0,0,0.321428571,0,0,0,0,0,0,0,0,0.172619048,0,0,0,0,0,0,0,0,0,0,0.291666667,0,0,0,0.196428571,0,0,0,0,0,0,0,0,0,0,0.077380952,0,0,0,0,0,0,0,0,0.017857143
COGENT TWIST - COGENTTWIST,34,0,0,0.875,0,0.464285714,0.321428571,0,0,0,0.369047619,0,0,0,0,0.172619048,0,0,0,0,0,0,0,0.321428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19047619,0,0,0,0,0,0,0,0,0,0,0
MAIRE MINT FIRE-UP - NZGFIREUP,35,0.93452381,0.755952381,0,0.357142857,0,0,0,0,0.458333333,0,0,0,0,0,0,0,0,0.119047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSHLEA PERFECTOR BOLD-ET - BUDDHA,36,0,0,0,0,0,0.642857143,0,0.529761905,0.458333333,0,0,0,0,0.255952381,0,0,0,0,0,0.196428571,0,0,0,0.196428571,0,0,0.142857143,0,0.089285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH OYVIND - VIKHOYVIND,37,0.93452381,0.755952381,0,0.357142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119047619,0,0,0,0,0,0,0,0,0,0,0,0,0.196428571,0,0,0,0,0,0.095238095,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM DEL SANTO - DELSANTO,38,0,0,0.875,0,0,0,0,0,0.458333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160714286,0.196428571,0,0,0.142857143,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0,0,0.113095238,0,0.095238095,0,0,0,0,0
SHEEKNOLL ALTAVITTEK - 011HO10909,39,0,0,0.875,0,0.464285714,0,0,0,0,0,0,0,0,0,0.172619048,0.18452381,0.18452381,0,0,0,0.136904762,0,0,0,0,0,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PENN-ENGLAND ISADOR - 29HO16319,40,0.93452381,0.755952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06547619,0,0,0
MR APPLES ARMANI - 7H11703,41,0,0,0,0,0,0.642857143,0,0.529761905,0,0,0,0,0,0.255952381,0,0,0,0,0,0.196428571,0,0,0,0,0,0,0,0,0.089285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM MCCUTCHEN 2701-ET - ZOLTAN,42,0,0,0,0,0.464285714,0,0,0,0,0.369047619,0,0,0,0.255952381,0,0.18452381,0.18452381,0,0,0.196428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSENADA TABOO PLANET ET - 7H8081,43,0,0,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0.18452381,0.18452381,0,0,0,0.136904762,0,0,0,0,0,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROSYLANE-LLC ALTALEO - 011HO11115,44,0,0,0,0,0.464285714,0,0,0,0,0.369047619,0,0,0,0,0,0.18452381,0.18452381,0,0,0,0.136904762,0,0,0,0,0,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY H CARNIVAL-ET - 29HO18020,45,0.93452381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06547619,0,0,0
HAZAEL DAUNTLESS FREEDOM - NZGHAZFREEDM,46,0,0,0,0,0,0,0,0,0.458333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154761905,0,0,0,0,0,0.107142857,0,0,0,0,0,0,0,0,0,0
MOURNE GROVE HOTHOUSE S2F - NZGHOTHOUSE,47,0,0,0,0,0,0,0,0,0.458333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053571429,0,0
ALJO TEL MAELSTROM - CRVMAELSTROM,48,0,0,0,0,0,0,0,0,0.458333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHINLEA PF ESTEEM-ET S2F - NZGWHESTEEM,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154761905,0,0,0,0,0,0.107142857,0,0,0,0,0,0,0,0.053571429,0,0
SRC GLENMEAD RUSH - NZGGLENRUSH,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
