column,Row Order,O-BEE MANFRED JUSTICE,LONG-LANGS OMAN OMAN,PICSTON SHOTTLE,HA-HO CUBBY MANFRED-ET,ENSENADA TABOO PLANET ET,ROUMARE,TO-MAR BLACKSTAR ET,JOCKO BESN,BRAEDALE GOLDWYN,CAROL PRELUDE MTOTO ET,ELITE MOUNTAIN DONOR IMP (E_T),EMPRISE BELL ELTON,ELITE GOLD BULLION-IMP-ET,MAUGHLIN STORM,SINGING-BROOK N-B MASCOT ET,ROSE-BAUM TABOO,RENGAW JARDIN JANEK,MADAWASKA AEROSTAR,JARDIN,BIS-MAY S-E-L MOUNTAIN ET,DIXIE-LEE AARON -ET,OSDEL-ENDEAVOR BOVA CUBBY,A RONNYBROOK PRELUDE ET,SHOREMAR JAMES,Q250 BESNE BUCK,OUT-JOCK CHOICE AMEL,ROYLANE SOCRA ROBUST,SHOREMAR PERFECT STAR (ET),AG-HIGH SIGHTS BS INGOT-ET,STARTMORE RUDOLPH,TESK-HOLM VALIANT ROCKIE,GIBBON,SOUTHWIND BELL OF BAR-LEE,HANOVERHILL STARBUCK,A MARK CJ GILBROOK GRAND ET,MJR BLACKSTAR EMORY-ET,END-ROAD BLACKSTAR MAJIC-ET,HILL VALLEY BASAR ACME,END-ROAD PVF BOLIVER,LEKKER VALIANT ROYALTY,ETAZON ADDISON,COLLINS ROYAL HUGO,BIS-MAY TRADITION CLEITUS,HOW-EL-ACRES K BELLMAN ET,BASAR,CARLIN-M IVANHOE BELL,MARA-THON BW MARSHALL,FUSTEAD EMORY BLITZ,WHITTIER-FARMS NED BOY,NORRIELAKE CLEITUS LUKE TWIN
ROSYLANE-LLC ALTALEO - 011HO11115,37,0,0,0.494876852,0,0.290983607,0,0,0,0,0.142414164,0,0,0,0,0,0.072744656,0,0,0,0,0,0,0,0,0,0.033810098,0,0,0,0,0,0,0,0,0,0,0.01331882,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIRE MINT FIRE-UP - NZGFIREUP,38,0.638317377,0,0,0.155729836,0,0,0,0,0,0,0,0.084012852,0,0,0.135241705,0,0,0,0,0,0,0.030736525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEEKNOLL ALTAVITTEK - 011HO10909,39,0,0,0,0,0.340163934,0,0.289951475,0,0,0.145488,0,0,0,0,0,0.085039738,0,0,0,0,0,0,0.03688341,0,0,0.036883934,0,0,0,0,0,0,0,0,0,0,0.016392656,0,0,0,0,0,0,0,0,0,0,0,0,0
PENN-ENGLAND ISADOR - 29HO16319,40,0.626022295,0,0,0.152656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036883934,0,0,0,0,0,0,0,0,0,0,0,0,0.098360656,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM DEL SANTO - DELSANTO,41,0,0,0,0,0,0,0.289951475,0,0,0,0,0,0,0,0.135241705,0,0,0,0,0,0,0,0,0,0,0,0,0.20696577,0,0,0,0.037907672,0.044055869,0.031760525,0,0,0,0.115778098,0,0,0,0,0,0,0.051228852,0,0,0,0,0
ENSENADA TABOO PLANET ET - 7H8081,42,0,0,0,0,0.405737705,0,0.293025311,0,0,0,0,0,0,0,0,0.134220066,0,0,0,0,0,0,0,0,0,0.049179016,0,0,0,0,0,0,0,0,0,0,0.028687738,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSHLEA PERFECTOR BOLD-ET - BUDDHA,43,0,0,0,0,0,0,0,0,0.260245246,0,0,0,0,0.150610098,0.135241705,0,0,0.057373377,0,0,0,0,0,0.062498098,0,0,0,0,0,0,0,0.037907672,0.044055869,0,0.028687738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY H CARNIVAL-ET - 29HO18020,44,0.622948459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082991738,0,0,0,0,0,0,0,0,0,0,0
MR APPLES ARMANI - 7H11703,45,0,0,0,0,0,0,0,0,0.260245246,0,0,0,0,0.150610098,0,0,0,0.057373377,0,0,0,0,0,0.062498098,0,0,0,0,0,0,0,0,0,0,0.028687738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOURNE GROVE HOTHOUSE S2F - NZGHOTHOUSE,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135241705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074795016,0,0,0,0,0,0,0,0
HAZAEL DAUNTLESS FREEDOM - NZGHAZFREEDM,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135241705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030736,0,0,0,0,0,0.022539803,0
ALJO TEL MAELSTROM - CRVMAELSTROM,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135241705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHINLEA PF ESTEEM-ET S2F - NZGWHESTEEM,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062499934,0.030736,0,0,0,0,0,0.022539803,0
SRC GLENMEAD RUSH - NZGGLENRUSH,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030736,0,0,0,0,0,0,0
